RBP,module
FTO,ME2
METTL14,ME2
METTL3,ME2
POLR2G,ME2
TES,ME2
WTAP,ME2
ACIN1,ME3
AKAP8L,ME3
BTF3,ME3
CCAR1,ME3
CHD2,ME3
CPSF7,ME3
CWC22,ME3
DARS,ME3
DCP1A,ME3
DCP2,ME3
DDX17,ME3
DHX15,ME3
EIF1,ME3
EIF4H,ME3
EMG1,ME3
FAM133B,ME3
FAM32A,ME3
FAM46A,ME3
FRG1,ME3
FTO,ME3
GPATCH1,ME3
GRB2,ME3
HADHB,ME3
HMGB1,ME3
HMGB2,ME3
IMMT,ME3
LUC7L3,ME3
METTL14,ME3
METTL3,ME3
MKRN1,ME3
MOV10,ME3
NAP1L4,ME3
NCBP2,ME3
NOP56,ME3
NUFIP2,ME3
PEBP1,ME3
PNISR,ME3
POLDIP3,ME3
R3HDM2,ME3
RBMX,ME3
RRP12,ME3
RSRC2,ME3
SCAF4,ME3
SFPQ,ME3
SMARCE1,ME3
SNRPA1,ME3
SRSF3,ME3
SUGP2,ME3
SUMO2,ME3
TEP1,ME3
TRA2B,ME3
UBC,ME3
WTAP,ME3
YWHAG,ME3
ZNF638,ME3
CNOT4,ME4
EIF3F,ME4
FNDC3A,ME4
FTO,ME4
GOLGB1,ME4
MAPKBP1,ME4
METTL14,ME4
METTL3,ME4
NBPF10,ME4
RBPMS2,ME4
RPL41,ME4
TBL2,ME4
VIM,ME4
WTAP,ME4
YBX2,ME4
AHNAK2,ME5
ANXA11,ME5
CCNT2,ME5
FAM120A,ME5
FTO,ME5
KIF1C,ME5
METTL14,ME5
METTL3,ME5
RPL29,ME5
RPS25,ME5
RPS7,ME5
SART1,ME5
SPTBN1,ME5
SRSF7,ME5
TRA2A,ME5
WDR33,ME5
WTAP,ME5
ZNF598,ME5
APOBEC3B,ME6
CD3EAP,ME6
DDX17,ME6
DHX58,ME6
EMG1,ME6
EP300,ME6
FTO,ME6
GRB2,ME6
METTL14,ME6
METTL3,ME6
PEBP1,ME6
POP1,ME6
RRP12,ME6
SMARCE1,ME6
TP53,ME6
WTAP,ME6
AGO4,ME7
CBX8,ME7
CD3EAP,ME7
CDKN2AIP,ME7
DDX39A,ME7
DDX59,ME7
DIAPH1,ME7
EIF1,ME7
EIF2B5,ME7
EIF2S3L,ME7
EIF3C,ME7
FASTKD3,ME7
FTO,ME7
GRN,ME7
GTPBP1,ME7
GTPBP2,ME7
KRCC1,ME7
LLPH,ME7
LSM11,ME7
METTL14,ME7
METTL3,ME7
MRPL43,ME7
MRPS30,ME7
MSN,ME7
MTRF1,ME7
NBPF10,ME7
NOP10,ME7
NUFIP2,ME7
PNISR,ME7
PRPF3,ME7
PRPF38B,ME7
PRPF40B,ME7
RBM4,ME7
RBM43,ME7
RNASEL,ME7
RPL12,ME7
RPL19,ME7
RPL26,ME7
RPL32,ME7
SAP18,ME7
SLFN13,ME7
SMARCE1,ME7
SNRPE,ME7
SRFBP1,ME7
SRP9,ME7
SRSF11,ME7
SUGP2,ME7
SYF2,ME7
TDRD3,ME7
TDRD7,ME7
TRIM21,ME7
UBE2N,ME7
WTAP,ME7
ZC3H12A,ME7
ZC3HAV1,ME7
ZRSR2,ME7
CNBP,ME8
CYFIP1,ME8
DYNC1H1,ME8
FTO,ME8
GTPBP2,ME8
HENMT1,ME8
METTL14,ME8
METTL3,ME8
MYO5A,ME8
NXF3,ME8
PIWIL4,ME8
POLR2A,ME8
RPL31,ME8
TES,ME8
WT1,ME8
WTAP,ME8
APOBEC3H,ME9
CALR,ME9
DEK,ME9
EIF4E,ME9
EIF4G3,ME9
FAM103A1,ME9
FTO,ME9
GANAB,ME9
HMGB1,ME9
IFIT1,ME9
KHNYN,ME9
METTL14,ME9
METTL3,ME9
PDIA4,ME9
SMARCE1,ME9
SUMO2,ME9
WTAP,ME9
ADAT1,ME11
ADD1,ME11
AKAP8L,ME11
ARCN1,ME11
ARF1,ME11
CALR,ME11
CAPRIN2,ME11
CCDC86,ME11
CDC42EP4,ME11
CDK13,ME11
DDX59,ME11
DEK,ME11
DIDO1,ME11
DIMT1,ME11
DTD1,ME11
EIF3C,ME11
EIF4E,ME11
EMG1,ME11
ERI3,ME11
FAM103A1,ME11
FAM133B,ME11
FAM32A,ME11
FARS2,ME11
FDPS,ME11
FRG1,ME11
FSCN1,ME11
FTO,ME11
GANAB,ME11
GPATCH1,ME11
GSPT2,ME11
GTF2F1,ME11
HDGF,ME11
HMGB1,ME11
HNRNPA0,ME11
HSP90AA1,ME11
HSP90B1,ME11
HSPA8,ME11
IFIT1,ME11
JUN,ME11
KHNYN,ME11
KRCC1,ME11
LLPH,ME11
LRRC47,ME11
LRRC59,ME11
MANF,ME11
MAPRE1,ME11
MECP2,ME11
METTL14,ME11
METTL3,ME11
MEX3C,ME11
MKRN1,ME11
MOV10,ME11
MRPL32,ME11
MRPS6,ME11
NANOS1,ME11
NCBP2,ME11
NDUFV3,ME11
NGRN,ME11
NOP10,ME11
NSUN5P2,ME11
NUDT16,ME11
NUDT4,ME11
P4HB,ME11
PCBP1,ME11
PDIA4,ME11
PEBP1,ME11
PEF1,ME11
PHAX,ME11
POLDIP3,ME11
POP7,ME11
PPIB,ME11
PRPF39,ME11
RAVER2,ME11
RBM15B,ME11
RBM4,ME11
RBM4B,ME11
RBMS2,ME11
RBMX2,ME11
RC3H1,ME11
RPL34,ME11
RPN1,ME11
RPS16,ME11
RRBP1,ME11
RRP36,ME11
RRP8,ME11
RSRC2,ME11
S100A16,ME11
SCAF1,ME11
SERBP1,ME11
SF3B4,ME11
SF3B5,ME11
SMARCE1,ME11
SNRNP70,ME11
SPATS2L,ME11
SPTBN1,ME11
SRFBP1,ME11
STAU1,ME11
SUGP1,ME11
SUMO1,ME11
SYNCRIP,ME11
TARDBP,ME11
TEP1,ME11
THRAP3,ME11
TLR9,ME11
TLR9,ME11
TRIM21,ME11
TRIP6,ME11
TUBB4B,ME11
UBC,ME11
UBE2L3,ME11
UPF1,ME11
UTP3,ME11
VCP,ME11
WTAP,ME11
YBX1,ME11
YWHAG,ME11
ZCCHC17,ME11
ZCCHC9,ME11
ZNF106,ME11
ZNF346,ME11
ZRSR2,ME11
ZYX,ME11
AHNAK,ME12
